# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Fbxw4	0.00586698589870546	0.0336437026909003	0.174385856176655	-0.0605932522093914	0.0723097171625105	0.861574627064742	0.569212686467629	0.999994336935075	0.995351549336329	4650	6207	0.0304049246753095	1	8.33459670823342	8.28330280194923	9.93343688970056	8.55885499536421	0.00586698589870546	0.00586698589870546	0.00586698589870546	0.00586698589870546	NA	F	random_intercept
Zfp11	0.00829892744634869	0.0474524894657443	0.174889190004238	-0.0854479861893991	0.102007314561834	0.861183901667912	0.569408049166044	0.999994336935075	0.995351549336329	4649	6208	0.0305785741589091	1	6.86780522965983	7.47592647560711	7.24849965371713	6.52616313454575	0.00829892744634869	0.00829892744634869	0.00829892744634869	0.00829892744634869	NA	F	random_intercept
Adrm1	0.00502966825844932	0.0287215937738722	0.175118006961883	-0.0517069613026789	0.061751481098072	0.860999439197673	0.569500280401163	0.999994336935075	0.995351549336329	4648	6209	0.0306607316104532	1	10.3282348409323	10.5472218607785	10.0418773234723	10.7098067866363	0.00502966825844932	0.00502966825844932	0.00502966825844932	0.00502966825844932	NA	F	random_intercept
Zscan20	0.005846260835573	0.0333544006644201	0.175277046480087	-0.0600789272742618	0.0717095648218666	0.860911058984049	0.569544470507976	0.999994336935075	0.995351549336329	4647	6210	0.0307001353895444	1	5.92411062298212	6.15989426444001	6.15458260391612	5.81887187220793	0.005846260835573	0.005846260835573	0.005846260835573	0.005846260835573	NA	F	random_intercept
Plekha8	0.00616043561569619	0.0350294583987568	0.175864426608286	-0.0630155276480259	0.0753649955692865	0.860412654341807	0.569793672829096	0.999994336935075	0.995351549336329	4646	6211	0.030922834371836	1	7.57166578066015	7.31566815479998	6.7591766318526	7.76514313923969	0.00616043561569619	0.00616043561569619	0.00616043561569619	0.00616043561569619	NA	F	random_intercept
Limd1	0.0052447197623889	0.0298131136343118	0.17591989306185	-0.0536556458388405	0.0641191633121315	0.860375097069395	0.569812451465302	0.999994336935075	0.995351549336329	4645	6212	0.0309396494653527	1	7.32599907590959	8.33253710556556	8.31719696427567	7.30392044987693	0.0052447197623889	0.0052447197623889	0.0052447197623889	0.0052447197623889	NA	F	random_intercept
Dab2	0.0134113939910983	0.0759392650212092	0.176606844790407	-0.136556087863162	0.163428411827438	0.859827884068887	0.570086057965556	0.999994336935075	0.995351549336329	4644	6213	0.0311851815239947	1	7.65254593451691	8.43220997202998	6.72829838057126	6.69981492073829	0.0134113939910983	0.0134113939910983	0.0134113939910983	0.0134113939910983	NA	F	random_intercept
Rps6kb2	0.00811121493249844	0.04590749051041	0.176686088529695	-0.0825693033306585	0.0987771480904848	0.859765566691355	0.570117216654322	0.999994336935075	0.995351549336329	4643	6214	0.0312132065225086	1	6.50219908979486	6.10228705539576	6.33270863226951	7.93849298870758	0.00811121493249844	0.00811121493249844	0.00811121493249844	0.00811121493249844	NA	F	random_intercept
Dram1	0.00637895126371777	0.0360849514178566	0.176775941578826	-0.0648995851770769	0.0776454787045017	0.859695135813184	0.570152432093408	0.999994336935075	0.995351549336329	4642	6215	0.0312448959009224	1	5.292713797381	7.21970588020049	5.17349566263301	5.34282479994223	0.00637895126371777	0.00637895126371777	0.00637895126371777	0.00637895126371777	NA	F	random_intercept
Nfu1	0.0152857632032143	0.0862410315692603	0.177244670258127	-0.155027790626255	0.185653470735046	0.859326631847051	0.570336684076474	0.999994336935075	0.995351549336329	4641	6216	0.0314109694066644	1	10.2726935817858	7.46273899237945	7.9494696417533	11.0027207659051	0.0152857632032143	0.0152857632032143	0.0152857632032143	0.0152857632032143	NA	F	random_intercept
