# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Srsf5	-0.011258278040695	0.0487419873816318	-0.230977000435925	-0.107511751983381	0.0850431716740166	0.8173685993417	0.59131570032915	0.999994187184675	0.946427802229951	6185	4694	0.0533290124400594	1	12.9651480799695	11.8232504948111	11.1140633181663	12.8617446292052	-0.011258278040695	-0.011258278040695	-0.011258278040695	-0.011258278040695	NA	F	random_intercept
9530077C05Rik	-0.00798995434020017	0.0345763092629657	-0.23108175830548	-0.0762875831425423	0.0602978291270398	0.817269905396153	0.591365047301923	0.999994187184675	0.946427802229951	6186	4693	0.0533877030030929	1	6.45498724624456	8.77581975412846	7.84987430682475	5.78729161710909	-0.00798995434020017	-0.00798995434020017	-0.00798995434020017	-0.00798995434020017	NA	F	random_intercept
Inafm2	-0.0126994418864108	0.0548625407779191	-0.231477465431604	-0.122524140513592	0.0968785080101177	0.817017997627818	0.591491001186091	0.999994187184675	0.946427802229951	6187	4692	0.0535376597553885	1	9.03177221318753	NA	10.4372306766836	9.63809559406367	-0.0126994418864108	NA	-0.0126994418864108	-0.0126994418864108	NA	F	random_intercept
Plp2	-0.00872131548046204	0.0376751843556702	-0.2314870021107	-0.0831690503952259	0.0656746085844623	0.816972918523562	0.591513540738219	0.999994187184675	0.946427802229951	6188	4691	0.0535645180128519	1	6.85154154709437	7.29038784121058	6.70762228244293	7.10485134082565	-0.00872131548046204	-0.00872131548046204	-0.00872131548046204	-0.00872131548046204	NA	F	random_intercept
Gart	-0.00901242922442019	0.0389314739824526	-0.231494682900584	-0.0859119591200055	0.0678770445640013	0.816949203449073	0.591525398275464	0.999994187184675	0.946427802229951	6189	4690	0.0535786503696229	1	8.32429248414914	9.56460121082035	7.58114265329377	8.8285398343749	-0.00901242922442019	-0.00901242922442019	-0.00901242922442019	-0.00901242922442019	NA	F	random_intercept
Vwa8	-0.00945957272297411	0.0408428092392799	-0.23160925752082	-0.0912618908896595	0.0721052258349282	0.816940719288648	0.591529640355676	0.999994187184675	0.946427802229951	6190	4689	0.0535837067523843	1	7.88006497366066	NA	8.76389551474332	8.70267501170877	-0.00945957272297411	NA	-0.00945957272297411	-0.00945957272297411	NA	F	random_intercept
Map2	-0.00608701001110681	0.0262845436336299	-0.23158134666332	-0.0579982074228446	0.0458326942999529	0.816885465418182	0.591557267290909	0.999994187184675	0.946427802229951	6191	4688	0.0536166430567704	1	13.5732035214678	13.6139709063353	12.2059439453532	13.7134542634858	-0.00608701001110681	-0.00608701001110681	-0.00608701001110681	-0.00608701001110681	NA	F	random_intercept
Rapgef3	-0.0104679740143462	0.0451871601794206	-0.231658151846276	-0.0997265901181447	0.0787749687080977	0.816822428011197	0.591588785994401	0.999994187184675	0.946427802229951	6192	4687	0.0536542320738036	1	7.26740884808665	8.1374370476721	11.5222215620627	7.68496972254814	-0.0104679740143462	-0.0104679740143462	-0.0104679740143462	-0.0104679740143462	NA	F	random_intercept
Hs3st3a1	-0.0125902759574748	0.0543235291445406	-0.231764691207292	-0.119899471131961	0.0946939884609073	0.816740199154647	0.591629900422677	0.999994187184675	0.946427802229951	6193	4686	0.0537032857546365	1	5.20936707808398	7.47569102386194	5.20725125589968	5.22342797702304	-0.0125902759574748	-0.0125902759574748	-0.0125902759574748	-0.0125902759574748	NA	F	random_intercept
BC052040	-0.00699453931606788	0.0301444943127786	-0.232033725412432	-0.0665401956931612	0.0525390619420742	0.816530988070844	0.591734505964578	0.999994187184675	0.946427802229951	6194	4685	0.0538281972621775	1	6.70060895140219	8.98353978198522	8.91537857387927	6.67740459089733	-0.00699453931606788	-0.00699453931606788	-0.00699453931606788	-0.00699453931606788	NA	F	random_intercept
